,country,market,title
1,china,app store,王者荣耀
2,china,app store,原神-1周年
3,china,app store,和平精英
4,china,app store,金铲铲之战
5,china,app store,三国志·战略版
6,china,app store,梦幻西游
7,china,app store,斗罗大陆：魂师对决-成龙大哥倾情代言
8,china,app store,穿越火线:枪战王者
9,china,app store,一念逍遥-道侣版本上线
10,china,app store,大话西游
11,china,app store,万国觉醒 - RoK
12,china,app store,QQ飞车
13,china,app store,JJ斗地主-欢乐棋牌休闲合集
14,china,app store,天涯明月刀
15,china,app store,梦幻新诛仙
16,china,app store,小浣熊百将传
17,china,app store,神武4
18,china,app store,问道
19,china,app store,率土之滨
20,china,app store,航海王热血航线-3D PVP正版手游
21,china,app store,荣耀全明星
22,china,app store,开心消消乐®
23,china,app store,指尖四川麻将-主播最爱麻将
24,china,app store,欢乐斗地主
25,china,app store,荣耀新三国
26,china,app store,明日之后
27,china,app store,捕鱼大作战-3D次时代千炮捕鱼
28,china,app store,火影忍者
29,china,app store,QQ炫舞
30,china,app store,浮生为卿歌
31,china,app store,倩女幽魂
32,china,app store,无尽的拉格朗日
33,china,app store,完美世界
34,china,app store,阴阳师
35,china,app store,实况足球-2021
36,china,app store,魂斗罗:归来-幻境3.0 真魂战纪
37,china,app store,乐乐捕鱼-3D真人捕鱼游戏大作战
38,china,app store,天龙八部手游
39,china,app store,叫我大掌柜-小当家厨王争霸赛开启
40,china,app store,新剑侠情缘
41,china,app store,剑与远征 - AFK
42,china,app store,坎特伯雷公主与骑士唤醒冠军之剑的奇幻冒险
43,china,app store,新诛仙
44,china,app store,真・三国无双 霸
45,china,app store,梦幻家园 (Homescapes)
46,china,app store,使命召唤手游
47,china,app store,梦幻花园 (Gardenscapes)
48,china,app store,三国志幻想大陆
49,china,app store,富豪麻将-曾志伟代言
50,china,app store,口袋奇兵
