country,market,title
korea,google play store,오딘: 발할라 라이징
china,app store,王者荣耀
korea,google play store,리니지M
korea,google play store,Genshin Impact
korea,google play store,블레이드&소울2
korea,google play store,리니지2M
korea,google play store,기적의 검
korea,google play store,히어로즈\xa0테일즈
korea,google play store,제2의 나라: CROSS WORLDS
korea,google play store,바람의나라: 연
korea,google play store,Cookie Run: Kingdom - Kingdom Builder...
korea,google play store,MARVEL Future Revolution
korea,google play store,라이즈 오브 킹덤즈
korea,google play store,삼국지 전략판
korea,google play store,블레이드&소울 레볼루션
korea,google play store,R2M
korea,google play store,리니지2 레볼루션
korea,google play store,Roblox
korea,google play store,뮤 아크엔젤
korea,google play store,V4
korea,google play store,FIFA ONLINE 4 M by EA SPORTS™
korea,google play store,Brawl Stars
korea,google play store,세븐나이츠2
korea,google play store,한게임 포커
korea,google play store,Pmang Poker : Casino Royal
korea,google play store,Epic Seven
korea,google play store,피파모바일
korea,google play store,PUBG MOBILE
korea,google play store,한게임포커 클래식 with PC
korea,google play store,원펀맨: 최강의 남자
korea,google play store,Clash of Clans
korea,google play store,A3: 스틸얼라이브
korea,google play store,Empires & Puzzles: Epic Match 3
korea,google play store,슬레이어 키우기
korea,google play store,KartRider Rush+
korea,google play store,메이플스토리M
korea,google play store,가디언 테일즈
korea,google play store,KonoSuba: Fantastic Days
korea,google play store,천상나르샤
korea,google play store,Lords Mobile: Tower Defense
korea,google play store,디 앤츠: 언더그라운드 킹덤
korea,google play store,붕괴3rd
korea,google play store,Gunship Battle Total Warfare
korea,google play store,S.O.S: 스테이트 오브 서바이벌 x 더 워킹 데드
korea,google play store,Homescapes
korea,google play store,AFK 아레나
korea,google play store,Summoners War
korea,google play store,Gardenscapes
korea,google play store,미르4
korea,google play store,검은사막 모바일
korea,google play store,퍼즐 오브 Z
china,app store,原神-1周年
china,app store,和平精英
china,app store,金铲铲之战
china,app store,三国志·战略版
china,app store,梦幻西游
china,app store,斗罗大陆：魂师对决-成龙大哥倾情代言
china,app store,穿越火线:枪战王者
china,app store,一念逍遥-道侣版本上线
china,app store,大话西游
china,app store,万国觉醒 - RoK
china,app store,QQ飞车
china,app store,JJ斗地主-欢乐棋牌休闲合集
china,app store,天涯明月刀
china,app store,梦幻新诛仙
china,app store,小浣熊百将传
china,app store,神武4
china,app store,问道
china,app store,率土之滨
china,app store,航海王热血航线-3D PVP正版手游
china,app store,荣耀全明星
china,app store,开心消消乐®
china,app store,指尖四川麻将-主播最爱麻将
china,app store,欢乐斗地主
china,app store,荣耀新三国
china,app store,明日之后
china,app store,捕鱼大作战-3D次时代千炮捕鱼
china,app store,火影忍者
china,app store,QQ炫舞
china,app store,浮生为卿歌
china,app store,倩女幽魂
china,app store,无尽的拉格朗日
china,app store,完美世界
china,app store,阴阳师
china,app store,实况足球-2021
china,app store,魂斗罗:归来-幻境3.0 真魂战纪
china,app store,乐乐捕鱼-3D真人捕鱼游戏大作战
china,app store,天龙八部手游
china,app store,叫我大掌柜-小当家厨王争霸赛开启
china,app store,新剑侠情缘
china,app store,剑与远征 - AFK
china,app store,坎特伯雷公主与骑士唤醒冠军之剑的奇幻冒险
china,app store,新诛仙
china,app store,真・三国无双 霸
china,app store,梦幻家园 (Homescapes)
china,app store,使命召唤手游
china,app store,梦幻花园 (Gardenscapes)
china,app store,三国志幻想大陆
china,app store,富豪麻将-曾志伟代言
china,app store,口袋奇兵
china,app store,乱世王者
china,app store,王牌竞速
china,app store,腾讯欢乐麻将全集
china,app store,光·遇
china,app store,FIFA足球世界-引擎升级
china,app store,最强蜗牛
china,app store,天谕
china,app store,云上城之歌-新职业登场
china,app store,梦幻西游网页版-杨千嬅代言
china,app store,天地劫：幽城再临
china,app store,三国杀
china,app store,部落冲突 (Clash of Clans)
china,app store,天天爱消除
china,app store,球球大作战
china,app store,捕鱼炸翻天-超火爆捕鱼游戏
china,app store,红警OL
china,app store,全民学霸-经营你的校园！
china,app store,跑跑卡丁车官方竞速版
china,app store,葫芦娃 -经典国漫上美影正版授权游戏
china,app store,星战前夜：无烬星河
china,app store,一梦江湖—原楚留香现已全面升级
china,app store,守望黎明
china,app store,崩坏3
china,app store,忍者必须死3
china,app store,有杀气童话2
china,app store,光与夜之恋
china,app store,梦幻模拟战
china,app store,全民奇迹2
china,app store,王国纪元(Lords Mobile)
china,app store,明日方舟
china,app store,斗罗大陆：武魂觉醒
china,app store,闪耀暖暖
china,app store,火柴人觉醒：火柴人联盟续作！
china,app store,海王捕鱼-官方版
china,app store,江南百景图
china,app store,魔镜物语
china,app store,Fate/Grand Order（命运-冠位指定）
china,app store,盛世芳华-唐风剧情游戏
china,app store,龙族崛起-龙谷奇兵团
china,app store,鸿图之下
china,app store,第五人格
china,app store,《炉石传说》
china,app store,皇家捕鱼电玩城-欢乐街机捕鱼游戏
china,app store,球球英雄
china,app store,三国杀十周年
china,app store,新笑傲江湖
china,app store,仗剑封尘之仙梦奇缘-养龙修仙：阴阳双剑
china,app store,波克捕鱼
china,app store,阿瓦隆之王：万龙争霸
china,app store,征途2
