,country,market,title
1,china,app store,原神-1周年
2,china,app store,王者荣耀
3,china,app store,和平精英
4,china,app store,金铲铲之战
5,china,app store,梦幻西游
6,china,app store,斗罗大陆：魂师对决-成龙大哥倾情代言
7,china,app store,三国志·战略版
8,china,app store,明日之后
9,china,app store,穿越火线:枪战王者
10,china,app store,一念逍遥-道侣版本上线
11,china,app store,部落冲突 (Clash of Clans)
12,china,app store,梦幻新诛仙
13,china,app store,阴阳师
14,china,app store,大话西游
15,china,app store,实况足球-2021
16,china,app store,天地劫：幽城再临
17,china,app store,天涯明月刀
18,china,app store,JJ斗地主-欢乐棋牌休闲合集
19,china,app store,闪耀暖暖
20,china,app store,万国觉醒 - RoK
21,china,app store,火影忍者
22,china,app store,率土之滨
23,china,app store,光·遇
24,china,app store,QQ飞车
25,china,app store,问道
26,china,app store,神武4
27,china,app store,QQ炫舞
28,china,app store,欢乐斗地主
29,china,app store,完美世界
30,china,app store,指尖四川麻将-主播最爱麻将
31,china,app store,航海王热血航线-3D PVP正版手游
32,china,app store,开心消消乐®
33,china,app store,荣耀全明星
34,china,app store,无尽的拉格朗日
35,china,app store,捕鱼大作战-3D次时代千炮捕鱼
36,china,app store,浮生为卿歌
37,china,app store,小浣熊百将传
38,china,app store,光与夜之恋
39,china,app store,剑与远征 - AFK
40,china,app store,倩女幽魂
41,china,app store,荣耀新三国
42,china,app store,三国志幻想大陆
43,china,app store,王牌竞速
44,china,app store,乱世王者
45,china,app store,《炉石传说》
46,china,app store,乐乐捕鱼-3D真人捕鱼游戏大作战
47,china,app store,明日方舟
48,china,app store,FIFA足球世界-引擎升级
49,china,app store,新剑侠情缘
50,china,app store,真・三国无双 霸
