,country,market,title
1,korea,google play store,오딘: 발할라 라이징
2,korea,google play store,리니지M
3,korea,google play store,리니지2M
4,korea,google play store,Genshin Impact
5,korea,google play store,블레이드&소울2
6,korea,google play store,제2의 나라: CROSS WORLDS
7,korea,google play store,기적의 검
8,korea,google play store,MARVEL Future Revolution
9,korea,google play store,히어로즈\xa0테일즈
10,korea,google play store,바람의나라: 연
11,korea,google play store,라이즈 오브 킹덤즈
12,korea,google play store,세븐나이츠2
13,korea,google play store,블레이드&소울 레볼루션
14,korea,google play store,Roblox
15,korea,google play store,KartRider Rush+
16,korea,google play store,R2M
17,korea,google play store,V4
18,korea,google play store,뮤 아크엔젤
19,korea,google play store,Epic Seven
20,korea,google play store,Cookie Run: Kingdom - Kingdom Builder...
21,korea,google play store,A3: 스틸얼라이브
22,korea,google play store,PUBG MOBILE
23,korea,google play store,Brawl Stars
24,korea,google play store,메이플스토리M
25,korea,google play store,가디언 테일즈
26,korea,google play store,Lords Mobile: Tower Defense
27,korea,google play store,삼국지 전략판
28,korea,google play store,FIFA ONLINE 4 M by EA SPORTS™
29,korea,google play store,천상나르샤
30,korea,google play store,슬레이어 키우기
31,korea,google play store,피파모바일
32,korea,google play store,한게임 포커
33,korea,google play store,디 앤츠: 언더그라운드 킹덤
34,korea,google play store,S.O.S: 스테이트 오브 서바이벌 x 더 워킹 데드
35,korea,google play store,Pmang Poker : Casino Royal
36,korea,google play store,붕괴3rd
37,korea,google play store,리니지2 레볼루션
38,korea,google play store,Empires & Puzzles: Epic Match 3
39,korea,google play store,KonoSuba: Fantastic Days
40,korea,google play store,DRAGON BALL Z DOKKAN BATTLE
41,korea,google play store,Cookie Run: OvenBreak - Endless Runni...
42,korea,google play store,Lord of Heroes
43,korea,google play store,Summoners War
44,korea,google play store,Gardenscapes
45,korea,google play store,Top War: Battle Game
46,korea,google play store,Homescapes
47,korea,google play store,AFK 아레나
48,korea,google play store,Gunship Battle Total Warfare
49,korea,google play store,검은사막 모바일
50,korea,google play store,갑부: 장사의 시대
